T:	[11:59:05:579074]	*IDN?	R:	[11:59:05:888587]	ROBOT_PREMO, V1.0
T:	[11:59:05:929775]	*IDN_LASER?	R:	[11:59:06:182142]	LASER_MARKER_PREMO, V1.0
T:	[11:59:30:332100]	STATE?	R:	[11:59:30:337457]	0
T:	[12:02:00:504833]	STATE?	R:	[12:02:00:530606]	0
T:	[12:02:00:530761]	STATE?	R:	[12:02:00:535941]	0
T:	[12:02:00:838697]	STATE?	R:	[12:02:00:838851]	0
T:	[12:02:01:163930]	STATE?	R:	[12:02:01:164280]	0
T:	[12:02:01:467146]	STATE?	R:	[12:02:01:472368]	0
T:	[12:02:01:773270]	STATE?	R:	[12:02:01:773391]	0
T:	[12:02:02:089889]	STATE?	R:	[12:02:02:090030]	0
T:	[12:02:02:399525]	STATE?	R:	[12:02:02:414775]	0
T:	[12:02:02:702605]	STATE?	R:	[12:02:02:728150]	0
T:	[12:02:03:007664]	STATE?	R:	[12:02:03:012883]	0
T:	[12:02:03:318071]	STATE?	R:	[12:02:03:323282]	0
T:	[12:02:03:624445]	STATE?	R:	[12:02:03:624631]	0
T:	[12:02:03:933506]	STATE?	R:	[12:02:03:933637]	0
T:	[12:02:04:245017]	STATE?	R:	[12:02:04:245217]	0
T:	[12:02:04:556267]	STATE?	R:	[12:02:04:561509]	0
T:	[12:02:04:862696]	STATE?	R:	[12:02:04:867990]	0
T:	[12:02:05:169018]	STATE?	R:	[12:02:05:174304]	0
T:	[12:02:05:475010]	STATE?	R:	[12:02:05:475148]	0
T:	[12:02:05:802083]	STATE?	R:	[12:02:05:802418]	0
T:	[12:02:06:107427]	STATE?	R:	[12:02:06:133423]	0
T:	[12:02:06:422343]	STATE?	R:	[12:02:06:427735]	0
T:	[12:02:06:736042]	STATE?	R:	[12:02:06:736172]	0
T:	[12:02:07:039742]	STATE?	R:	[12:02:07:050144]	0
T:	[12:02:07:346706]	STATE?	R:	[12:02:07:346840]	0
T:	[12:02:07:676398]	STATE?	R:	[12:02:07:681845]	0
T:	[12:02:07:982489]	STATE?	R:	[12:02:07:987763]	0
T:	[12:02:08:299893]	STATE?	R:	[12:02:08:305422]	0
