T:	[18:55:54:372829]	*IDN?	R:	[18:55:54:513989]	ROBOT_PREMO, V1.0
T:	[18:55:54:524901]	*IDN_LASER?	R:	[18:55:54:825711]	LASER_MARKER_PREMO, V1.0
T:	[18:56:16:128679]	STATE?	R:	[18:56:16:133991]	0
T:	[19:00:14:146492]	STATE?	R:	[19:00:14:146682]	1
T:	[19:00:14:173008]	STATE?	R:	[19:00:14:173172]	1
T:	[19:00:14:478805]	STATE?	R:	[19:00:14:479055]	1
T:	[19:00:14:489610]	DUT_SERIAL_NB?	R:	[19:00:14:650769]	22\07\0912365

T:	[19:00:15:011966]	STATE?	R:	[19:00:15:012125]	1
T:	[19:00:15:022423]	MoveFromInpToHiPot	R:	[19:00:15:186080]	ACK
T:	[19:00:15:492255]	STATE?	R:	[19:00:15:497683]	1
T:	[19:00:15:794425]	STATE?	R:	[19:00:15:794568]	1
T:	[19:00:16:108733]	STATE?	R:	[19:00:16:114000]	1
T:	[19:00:16:410945]	STATE?	R:	[19:00:16:411244]	1
T:	[19:00:16:715755]	STATE?	R:	[19:00:16:716075]	1
T:	[19:00:17:024070]	STATE?	R:	[19:00:17:034347]	1
T:	[19:00:17:325582]	STATE?	R:	[19:00:17:325732]	1
T:	[19:00:17:631768]	STATE?	R:	[19:00:17:631995]	1
T:	[19:00:17:936102]	STATE?	R:	[19:00:17:936265]	1
T:	[19:00:18:241792]	STATE?	R:	[19:00:18:242011]	1
T:	[19:00:18:544204]	STATE?	R:	[19:00:18:554683]	1
T:	[19:00:18:847680]	STATE?	R:	[19:00:18:847817]	1
T:	[19:00:19:151043]	STATE?	R:	[19:00:19:151244]	1
T:	[19:00:19:454021]	STATE?	R:	[19:00:19:454168]	1
T:	[19:00:19:755796]	STATE?	R:	[19:00:19:755937]	1
T:	[19:00:20:058117]	STATE?	R:	[19:00:20:058602]	1
T:	[19:00:20:360844]	STATE?	R:	[19:00:20:361037]	0
T:	[19:00:20:666004]	STATE?	R:	[19:00:20:666150]	0
T:	[19:00:20:972891]	STATE?	R:	[19:00:20:973032]	0
T:	[19:00:21:278105]	STATE?	R:	[19:00:21:278306]	0
T:	[19:00:21:581099]	STATE?	R:	[19:00:21:581235]	0
T:	[19:00:21:883893]	STATE?	R:	[19:00:21:884033]	0
T:	[19:00:22:185621]	STATE?	R:	[19:00:22:185798]	0
T:	[19:00:22:489961]	STATE?	R:	[19:00:22:490111]	0
T:	[19:00:22:791983]	STATE?	R:	[19:00:22:792130]	0
T:	[19:00:23:096803]	STATE?	R:	[19:00:23:096949]	0
T:	[19:00:23:397889]	STATE?	R:	[19:00:23:398088]	0
T:	[19:00:23:704203]	STATE?	R:	[19:00:23:704398]	0
T:	[19:00:24:008428]	STATE?	R:	[19:00:24:008663]	0
T:	[19:00:24:314873]	STATE?	R:	[19:00:24:315403]	0
T:	[19:00:24:618092]	STATE?	R:	[19:00:24:618325]	0
T:	[19:00:24:922824]	STATE?	R:	[19:00:24:923260]	0
T:	[19:00:25:227507]	STATE?	R:	[19:00:25:227712]	0
T:	[19:00:25:529695]	STATE?	R:	[19:00:25:529838]	0
T:	[19:00:25:832141]	STATE?	R:	[19:00:25:832419]	0
T:	[19:00:26:135100]	STATE?	R:	[19:00:26:142364]	0
T:	[19:00:26:437741]	STATE?	R:	[19:00:26:437886]	0
T:	[19:00:26:741877]	STATE?	R:	[19:00:26:742182]	0
T:	[19:00:27:046559]	STATE?	R:	[19:00:27:046703]	0
T:	[19:00:27:352106]	STATE?	R:	[19:00:27:352567]	0
T:	[19:00:27:658551]	STATE?	R:	[19:00:27:658699]	0
T:	[19:00:27:959824]	STATE?	R:	[19:00:27:960132]	0
T:	[19:00:28:263072]	STATE?	R:	[19:00:28:263223]	0
T:	[19:00:28:565787]	STATE?	R:	[19:00:28:566065]	0
T:	[19:00:28:869866]	STATE?	R:	[19:00:28:870039]	0
T:	[19:00:29:171620]	STATE?	R:	[19:00:29:171768]	0
T:	[19:00:29:476554]	STATE?	R:	[19:00:29:476760]	2
T:	[19:00:29:810529]	STATE?	R:	[19:00:29:826686]	2
T:	[19:00:30:124486]	STATE?	R:	[19:00:30:129711]	2
T:	[19:00:30:440968]	STATE?	R:	[19:00:30:446374]	2
T:	[19:00:30:762444]	STATE?	R:	[19:00:30:762585]	2
T:	[19:00:31:065296]	STATE?	R:	[19:00:31:075870]	2
T:	[19:00:31:374204]	STATE?	R:	[19:00:31:374381]	2
T:	[19:00:31:679427]	STATE?	R:	[19:00:31:684748]	2
T:	[19:00:31:989586]	STATE?	R:	[19:00:31:997154]	2
T:	[19:00:32:321649]	STATE?	R:	[19:00:32:322013]	2
T:	[19:00:32:633296]	STATE?	R:	[19:00:32:638721]	2
T:	[19:00:32:942500]	STATE?	R:	[19:00:32:942671]	2
T:	[19:00:33:248980]	STATE?	R:	[19:00:33:254457]	2
T:	[19:00:33:564278]	STATE?	R:	[19:00:33:569518]	2
T:	[19:00:33:867047]	STATE?	R:	[19:00:33:890495]	2
T:	[19:00:34:188207]	STATE?	R:	[19:00:34:205898]	2
